rating,reviews,company,province,parsed_date,processed_reviews,tokenized_reviews,topic
5,"Kantor operasional JNE aceh merupakan kantor tempat pengambilan barang yang dikirim melalui jasa pengiriman JNE, petugasnya yang sopan - sopan dan pelayanannya juga baik dan cepat. …",JNE,Aceh,2020-01-22,kantor operasional kantor ambil kirim jasa kirim tugas sopan sopan layan cepat,"['kantor', 'operasional', 'kantor', 'ambil', 'kirim', 'jasa', 'kirim', 'tugas', 'sopan', 'sopan', 'layan', 'cepat']",Pelayanan Bagus
5,"Semoga barang ku segera di antar ,
Aku was was jika aku harus ambil sendiri, kan lucu ongkos kirim sudah di bayar, masa harus ambil di kantor, apalagi aku di Aceh timur, masa iya harus ke Banda …",JNE,Aceh,2020-01-22,moga was was lucu ongkos bayar kantor timur banda,"['moga', 'was', 'was', 'lucu', 'ongkos', 'bayar', 'kantor', 'timur', 'banda']",Pelayanan Bagus
5,"Untuk pengiriman cepet banget,tapi untuk penerimaan barang agak kecewa,padahal udah sama kurir,terus kurir nya udah janji jam sekian tapi ga datang datang",JNE,Aceh,2020-01-22,kirim cepat terima kecewa janji sekian,"['kirim', 'cepat', 'terima', 'kecewa', 'janji', 'sekian']",Pelayanan Bagus
5,pelayanannya bagus tp senyum ke konsumen harus di tingkatkan..konsumen raja mas bro...mks JNE😘😘😘 …,JNE,Aceh,2020-01-22,layan bagus senyum konsumen tingkat konsumen raja mks,"['layan', 'bagus', 'senyum', 'konsumen', 'tingkat', 'konsumen', 'raja', 'mks']",Pelayanan Bagus
4,Dulu sering ngirim barang disini guys,JNE,Aceh,2024-10-22,nan,['nan'],Pelayanan Bagus
5,"Pelayanan ramah, cepat, mantaplah pokoknya... 👍👍👍 …",JNE,Aceh,2020-01-22,layan ramah cepat mantap pokok,"['layan', 'ramah', 'cepat', 'mantap', 'pokok']",Pelayanan Bagus
4,"Kalo menurut saya sih bagus,
Tempat bersih, petugas ramah,lokasi yg strategis,",JNE,Aceh,2023-01-21,bagus bersih tugas ramah lokasi strategis,"['bagus', 'bersih', 'tugas', 'ramah', 'lokasi', 'strategis']",Pelayanan Bagus
5,Kiriman aq lebih cepat sampai di tempat.. mantap jiwa jne,JNE,Aceh,2020-01-22,kirim cepat bagus jiwa,"['kirim', 'cepat', 'bagus', 'jiwa']",Pelayanan Bagus
5,Pelayanan nya bagus... Cuma pengantaran barang sangat lama,JNE,Aceh,2021-01-21,layan bagus antar lambat,"['layan', 'bagus', 'antar', 'lambat']",Pelayanan Bagus
5,Pengiriman cepat,JNE,Aceh,2024-08-23,kirim cepat,"['kirim', 'cepat']",Pelayanan Bagus
5,Kalo lagi sepi enak.. Tapi kalo lgi penuh nyeseknya minta ampun,JNE,Aceh,2019-01-22,sepi enak penuh nyeseknya ampun,"['sepi', 'enak', 'penuh', 'nyeseknya', 'ampun']",Pelayanan Bagus
5,"Jika ada paket yang tidak terkirim ke alamat tujuan, di sini tempatnya untuk ambil paket.",JNE,Aceh,2020-01-22,kirim tuju tempat,"['kirim', 'tuju', 'tempat']",Pelayanan Bagus
5,Di sini tempat jemput paket... Apabila belum di antar ke rumah,JNE,Aceh,2019-01-22,jemput rumah,"['jemput', 'rumah']",Pelayanan Bagus
5,Gudangnya kali ya,JNE,Aceh,2020-01-22,gudang,['gudang'],Pelayanan Bagus
4,Pelayanannya agak lama.,JNE,Aceh,2021-01-21,layan lambat,"['layan', 'lambat']",Pelayanan Bagus
4,Anda dapat mengambil paket Anda di sini,JNE,Aceh,2021-01-21,ambil,['ambil'],Pelayanan Bagus
5,Oke,JNE,Aceh,2024-05-25,nan,['nan'],Pelayanan Bagus
5,𝐼𝑛𝑑𝑎ℎ𝑛𝑦𝑎 …,JNE,Aceh,2024-03-26,nan,['nan'],Pelayanan Bagus
5,Selamat tinggal,JNE,Aceh,2020-01-22,tinggal,['tinggal'],Pelayanan Bagus
4,Pelayanannya menjadi lebih baik.,JNE,Aceh,2023-01-21,layan,['layan'],Pelayanan Bagus
4,Tidak buruk,JNE,Aceh,2019-01-22,buruk,['buruk'],Pelayanan Bagus
5,Sangat bagus,JNE,Aceh,2019-01-22,bagus,['bagus'],Pelayanan Bagus
4,Hh,JNE,Aceh,2019-01-22,hh,['hh'],Pelayanan Bagus
5,Wow,JNE,Aceh,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Bereh,JNE,Aceh,2021-01-21,bereh,['bereh'],Pelayanan Bagus
5,yang kedua,JNE,Aceh,2019-01-22,nan,['nan'],Pelayanan Bagus
5,mntap,JNE,Aceh,2019-01-22,mntap,['mntap'],Pelayanan Bagus
5,Oke,JNE,Aceh,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Siyaapppp,JNE,Aceh,2019-01-22,heap,['heap'],Pelayanan Bagus
4,jj,JNE,Aceh,2020-01-22,jj,['jj'],Pelayanan Bagus
5,"Oke, tidak",JNE,Aceh,2019-01-22,nan,['nan'],Pelayanan Bagus
5,Atas,JNE,Aceh,2021-01-21,nan,['nan'],Pelayanan Bagus
5,DLL,JNE,Aceh,2021-01-21,nan,['nan'],Pelayanan Bagus
4,Tepercaya,JNE,Aceh,2021-01-21,percaya,['percaya'],Pelayanan Bagus
5,orang-orang baik,JNE,Aceh,2022-01-21,orang orang,"['orang', 'orang']",Pelayanan Bagus
4,Mudah diakses,JNE,Aceh,2019-01-22,mudah akses,"['mudah', 'akses']",Pelayanan Bagus
5,Pengirim barang,JNE,Aceh,2019-01-22,kirim,['kirim'],Pelayanan Bagus
4,Jadi jauh dr panjer kalau perlu packing kayu.,JNE,Bali,2021-01-21,panjer packing kayu,"['panjer', 'packing', 'kayu']",Pelayanan Bagus
5,gudangnya besar dan tempatnya stategis daerah denpasar kota untuk menggambil barang,JNE,Bali,2021-01-21,gudang tempat stategis daerah kota menggambil,"['gudang', 'tempat', 'stategis', 'daerah', 'kota', 'menggambil']",Pelayanan Bagus
5,"Gudang besar dan perlakuan terhadap barang kiriman,  baik!",JNE,Bali,2021-01-21,laku kirim,"['laku', 'kirim']",Pelayanan Bagus
5,Jam mepet.. terlalu memaksa driver vendor,JNE,Bali,2021-01-21,paksa driver vendor,"['paksa', 'driver', 'vendor']",Pelayanan Bagus
5,Pelayanannya bagus..cepat...ramah jujur..,JNE,Bali,2021-01-21,layan bagus cepat ramah jujur,"['layan', 'bagus', 'cepat', 'ramah', 'jujur']",Pelayanan Bagus
5,Sudah 2X paket saya dititipkan disini.,JNE,Bali,2021-01-21,titip,['titip'],Pelayanan Bagus
5,mantap pelayanan'a jg ramah 🤙 …,JNE,Bali,2021-01-21,bagus layan  a ramah,"['bagus', 'layan', 'a', 'ramah']",Pelayanan Bagus
5,Pusat transit barang,JNE,Bali,2021-01-21,pusat transit,"['pusat', 'transit']",Pelayanan Bagus
5,solusi cepat kirim barang,JNE,Bali,2021-01-21,solusi cepat,"['solusi', 'cepat']",Pelayanan Bagus
5,Karyawan nya baik dan ramah,JNE,Bali,2021-01-21,karyawan ramah,"['karyawan', 'ramah']",Pelayanan Bagus
4,Tempat kirim2 paket,JNE,Bali,2021-01-21,nan,['nan'],Pelayanan Bagus
5,JNE pengiriman via darat,JNE,Bali,2021-01-21,kirim via darat,"['kirim', 'via', 'darat']",Pelayanan Bagus
5,Pelayanan nya mantap,JNE,Bali,2021-01-21,layan bagus,"['layan', 'bagus']",Pelayanan Bagus
5,Gudangnya besar,JNE,Bali,2021-01-21,gudang,['gudang'],Pelayanan Bagus
5,Mantap,JNE,Bali,2021-01-21,bagus,['bagus'],Pelayanan Bagus
4,Bagus.,JNE,Bali,2021-01-21,bagus,['bagus'],Pelayanan Bagus
5,Bagus,JNE,Bali,2021-01-21,bagus,['bagus'],Pelayanan Bagus
4,Staf yang ramah. Lokasi strategis. Tempat parkir yang cukup.,JNE,Bali,2021-01-21,staf ramah lokasi strategis parkir,"['staf', 'ramah', 'lokasi', 'strategis', 'parkir']",Pelayanan Bagus
5,Yang terbaik 👍🏼 …,JNE,Bali,2021-01-21,baik,['baik'],Pelayanan Bagus
5,👌 oke. …,JNE,Bali,2021-01-21,nan,['nan'],Pelayanan Bagus
5,Oke,JNE,Bali,2021-01-21,nan,['nan'],Pelayanan Bagus
5,"Pelayanannya sgt memuaskan...karyawan2 dan security JNE nya sgt ramah,sopan,baik dan sabar.👍👍😊😊 …",JNE,Bangka Belitung,2021-01-21,layan muas karyawan security ramah sopan sabar,"['layan', 'muas', 'karyawan', 'security', 'ramah', 'sopan', 'sabar']",Pelayanan Bagus
4,"JNE Pangkalpinang berlokasi di ruas jalan raya dan mudah dijangkau, tempat parkirnya ada, Kami biasa menggunakan jasa JNE untuk pengiriman barang ke luar kota dan selalu lancar meski terkadang pas ramai harus mengantri disini. Pelayanannya baik, ramah dan cepat. Kurirnya juga ramah dan sabar. pokoknya recomended deh...",JNE,Bangka Belitung,2021-01-21,pangkalpinang lokasi ruas jalan raya mudah jangkau parkir jasa kirim kota lancar terkadang pas ramai antri layan ramah cepat kurir ramah sabar pokok recomended,"['pangkalpinang', 'lokasi', 'ruas', 'jalan', 'raya', 'mudah', 'jangkau', 'parkir', 'jasa', 'kirim', 'kota', 'lancar', 'terkadang', 'pas', 'ramai', 'antri', 'layan', 'ramah', 'cepat', 'kurir', 'ramah', 'sabar', 'pokok', 'recomended']",Pelayanan Bagus
5,"Untuk pelayanan kiriman paket gak diragukan lagi lah.. Nama JNE sudah melayani hingga pelosok, dengan harga kompetitif..namun kalau mendekati high season belum ada pelayanan buka loket ekstra agar tidak terjadi penumpukan dan keterlambatan …",JNE,Bangka Belitung,2021-01-21,layan kirim ragu  layan pelosok harga kompetitif dekat high season layan loket ekstra tumpu lambat,"['layan', 'kirim', 'ragu', 'layan', 'pelosok', 'harga', 'kompetitif', 'dekat', 'high', 'season', 'layan', 'loket', 'ekstra', 'tumpu', 'lambat']",Pelayanan Bagus
5,Ramah walaupun hari lebaran idul adha. Tetap semangat. Pagi JM 8 sdh di layani dgn. Baik. Trmksh JNE,JNE,Bangka Belitung,2021-01-21,ramah lebaran idul adha semangat pagi jm layan trmksh,"['ramah', 'lebaran', 'idul', 'adha', 'semangat', 'pagi', 'jm', 'layan', 'trmksh']",Pelayanan Bagus
4,"Disini memang pusatnya JNE pangkalpinang, saya kesini karena barang belum sampai pada waktu yg sudah ditentukan. Saat sampai disana ternyata banyak juga antri untuk mengecek, dn memang katanya ada pengiriman gagal dan alasan lainnya. Tapi untungnya pelayannya ramah dan gerak cepet untuk menyelesaikan masalah",JNE,Bangka Belitung,2021-01-21,pusat pangkalpinang kesini waktu tentu sana antri ecek dn kirim gagal alas untung layan ramah gerak cepat selesai,"['pusat', 'pangkalpinang', 'kesini', 'waktu', 'tentu', 'sana', 'antri', 'ecek', 'dn', 'kirim', 'gagal', 'alas', 'untung', 'layan', 'ramah', 'gerak', 'cepat', 'selesai']",Pelayanan Bagus
4,Tempatnya full ac dijaga satpam juga genks walo hr minggu dia ini bener2 buka stiap hari yee kan walo lebaran juga wkwkwkw salut bener dah tp kalo minggu pernah kesana aga lama krn pegawainya cuma sedikit gitu tp tetep setset cepet banget say pelayanannya rekomen la,JNE,Bangka Belitung,2021-01-21,tempat full ac jaga satpam genks walo yee walo lebaran wkwkwkw salut kesana aga lambat pegawai tetep setset cepat say layan rekomen,"['tempat', 'full', 'ac', 'jaga', 'satpam', 'genks', 'walo', 'yee', 'walo', 'lebaran', 'wkwkwkw', 'salut', 'kesana', 'aga', 'lambat', 'pegawai', 'tetep', 'setset', 'cepat', 'say', 'layan', 'rekomen']",Pelayanan Bagus
5,Tempat sejuk Dan nyaman. Dilengkapi instrumental music. Tersedia lakban dam pulpen. Petugas cekatan Dan ramah. Terus dipertahankan,JNE,Bangka Belitung,2021-01-21,sejuk nyaman lengkap instrumental music sedia lakban dam pulpen tugas cekat ramah tahan,"['sejuk', 'nyaman', 'lengkap', 'instrumental', 'music', 'sedia', 'lakban', 'dam', 'pulpen', 'tugas', 'cekat', 'ramah', 'tahan']",Pelayanan Bagus
5,Seneng krn berhasil kirim HP dg cepat dn selamat via JNE.. Sempet dag dig dug ga bs tidur krn baca testi ad juga kehilangan ga sampe meski diganti 100persen wlw pake asuransi.. Pertahankan ya JNE.. Berkah utk para kurir kurir yg amanah..,JNE,Bangka Belitung,2021-01-21,hasil handphone cepat dn via dag dig dug tidur baca testi hilang ganti persen wlw pakai asuransi tahan berkah amanah,"['hasil', 'handphone', 'cepat', 'dn', 'via', 'dag', 'dig', 'dug', 'tidur', 'baca', 'testi', 'hilang', 'ganti', 'persen', 'wlw', 'pakai', 'asuransi', 'tahan', 'berkah', 'amanah']",Pelayanan Bagus
5,"Ini adalah kantor pusat ekspedisi JNE yg seringkali dipakai oleh masyarakat untuk kirim paket dan mobilisasi logistik dari dan keluar bangka, lebih cepatlah rasanya kalau drop paket kiriman kita disini secara ini adalah kantor pusatnya.",JNE,Bangka Belitung,2021-01-21,kantor pusat ekspedisi seringkali pakai masyarakat mobilisasi logistik bangka cepat drop kirim kantor pusat,"['kantor', 'pusat', 'ekspedisi', 'seringkali', 'pakai', 'masyarakat', 'mobilisasi', 'logistik', 'bangka', 'cepat', 'drop', 'kirim', 'kantor', 'pusat']",Pelayanan Bagus
5,Pelayanan ramah dan packing rapih dan aman,JNE,Bangka Belitung,2021-01-21,layan ramah packing rapih aman,"['layan', 'ramah', 'packing', 'rapih', 'aman']",Pelayanan Bagus
5,"Paket dikirim dari jakarta tgl 30 Juni pukul 19:25, dan sudah saya terima di kantor jne lgs pukul 13:00 tgl 1Juli.. Bener2 express 👍👍👍 dan ini sudah pernah juga terjadi sblmnya. Pertahankan service yang berkualitas. …",JNE,Bangka Belitung,2021-01-21,kirim juni kantor lgs juli express sblmnya tahan service kualitas,"['kirim', 'juni', 'kantor', 'lgs', 'juli', 'express', 'sblmnya', 'tahan', 'service', 'kualitas']",Pelayanan Bagus
5,kirim barang pakai JNE cepat kok. siang hari tadi (13des2019) baru terima paketan dari malang yg dikirim tgl 10des2019 sore. cepet kan? barang di gudang gak sampe 24 jam udah langsung dikirim kurir. good job JNE👍🏻. cuma ingin membagikan …,JNE,Bangka Belitung,2021-01-21,pakai cepat siang des paket malang kirim des sore cepat langsung kirim bagus bagi,"['pakai', 'cepat', 'siang', 'des', 'paket', 'malang', 'kirim', 'des', 'sore', 'cepat', 'langsung', 'kirim', 'bagus', 'bagi']",Pelayanan Bagus
5,"Selalu mengedepankan ekspedisi JNE dibandingkan dengan lainnya.  Waktu pengiriman terbilang cukup cepat dan selalu konsisten.  Tempat menunggu untuk mengirim atau penerimaan paket, lumayan nyaman. Customer service nya pun ramah dan cukup …",JNE,Bangka Belitung,2021-01-21,depan ekspedisi banding waktu kirim bilang cepat konsisten tunggu kirim terima nyaman customer service ramah,"['depan', 'ekspedisi', 'banding', 'waktu', 'kirim', 'bilang', 'cepat', 'konsisten', 'tunggu', 'kirim', 'terima', 'nyaman', 'customer', 'service', 'ramah']",Pelayanan Bagus
5,"Pelayanan baik tempat bersih dan karyawan/i nya ramah,  hanya pelayanan kurir nya yg terkadang menjengkelkan,  walawpun tidak semua kurir yg melakukan,  sudah 2x saya pesan barang dan barang belum sampai tetapi di status sudah dikirim oleh …",JNE,Bangka Belitung,2021-01-21,layan bersih karyawan i ramah layan terkadang jengkel walawpun pesan kirim,"['layan', 'bersih', 'karyawan', 'i', 'ramah', 'layan', 'terkadang', 'jengkel', 'walawpun', 'pesan', 'kirim']",Pelayanan Bagus
5,Tempat sangat strategis mudah dilihat jika berkendaraan dengan pelayanan prima jne pangkalpinang selalu di penuhi pengunjung yang bertransaksi baik untuk pengiriman barang maupun menerima barang jarang sekali terlihat sepi pengunjung …,JNE,Bangka Belitung,2021-01-21,strategis mudah kendara layan prima pangkalpinang penuh unjung transaksi kirim terima jarang sepi unjung,"['strategis', 'mudah', 'kendara', 'layan', 'prima', 'pangkalpinang', 'penuh', 'unjung', 'transaksi', 'kirim', 'terima', 'jarang', 'sepi', 'unjung']",Pelayanan Bagus
4,Untuk pengiriman lumayan cepat. Untuk pengambilan di tempat agak ribet dan sering nggak bisa. Jadi kita harus menunggu lebih lama untuk paket yang telah di kirimkan. Nomor telepon susah untuk di hubungi dan tidak pernah di angkat.,JNE,Bangka Belitung,2021-01-21,kirim cepat ambil ribet tunggu lambat kirim nomor telepon susah angkat,"['kirim', 'cepat', 'ambil', 'ribet', 'tunggu', 'lambat', 'kirim', 'nomor', 'telepon', 'susah', 'angkat']",Pelayanan Bagus
4,Lumayan baik dalam hal pelayanan dan selalu konfirmasi setiap barang sampai utk penerima. Walaupun terakhir ada kerusakan dalam pengiriman. Mohon untuk lebih hati2 lagi ya. Semoga semakin baik JNE.,JNE,Bangka Belitung,2021-01-21,layan konfirmasi terima rusa kirim mohon hati moga,"['layan', 'konfirmasi', 'terima', 'rusa', 'kirim', 'mohon', 'hati', 'moga']",Pelayanan Bagus
5,"Paket jenis oke tapi sampai dalam 2 hari. Cepat sekali di luar ekspektasi. Paket lengkap dan aman. Mantap JNE, pertahankan dan tingkatkan terus kinerja nya! :)",JNE,Bangka Belitung,2021-01-21,jenis cepat ekspektasi lengkap aman bagus tahan tingkat kerja,"['jenis', 'cepat', 'ekspektasi', 'lengkap', 'aman', 'bagus', 'tahan', 'tingkat', 'kerja']",Pelayanan Bagus
5,"Saya suka pakai jasa ini...langganan...

masukan: ruang pengambilan barang/paketnya diperbesar donk (tah gmn cara …",JNE,Bangka Belitung,2021-01-21,pakai jasa langgan masuk ruang ambil paket besar tah gmn,"['pakai', 'jasa', 'langgan', 'masuk', 'ruang', 'ambil', 'paket', 'besar', 'tah', 'gmn']",Pelayanan Bagus
5,"pelayanan kantornya sih oke, kalo servis jne sendiri sudah relatif bagus, cuma kalo pas overload ya bisa molor, tapi masih batas wajar. Still the best lah",JNE,Bangka Belitung,2021-01-21,layan kantor servis relatif bagus pas overload molor batas wajar ,"['layan', 'kantor', 'servis', 'relatif', 'bagus', 'pas', 'overload', 'molor', 'batas', 'wajar']",Pelayanan Bagus
5,Pelayanan sangat ramah...dan waktu bukanya lebih cepat dan tutupnya lambat...membuat saya sebagai konsumen setiap bulannya yg sering menggunakan jasa JNE sangat terbantu......buat JNE smangattt,JNE,Bangka Belitung,2021-01-21,layan ramah waktu buka cepat tutup lambat konsumen bulan jasa bantu smangat,"['layan', 'ramah', 'waktu', 'buka', 'cepat', 'tutup', 'lambat', 'konsumen', 'bulan', 'jasa', 'bantu', 'smangat']",Pelayanan Bagus
4,"Karena malem, konternya cuma 1 yg open.. jd bikin lambat pelayanan, sedangkan ruangan udah penuh orang antri, tempat duduk kurang..",JNE,Bangka Belitung,2021-01-21,malam konter open lambat layan ruang penuh orang antri duduk,"['malam', 'konter', 'open', 'lambat', 'layan', 'ruang', 'penuh', 'orang', 'antri', 'duduk']",Pelayanan Bagus
4,Pelayanan ramah,JNE,Bangka Belitung,2021-01-21,layan ramah,"['layan', 'ramah']",Pelayanan Bagus
4,"Pelayanan cepat, cs nya membantu dalam memberi penjelasan",JNE,Bangka Belitung,2021-01-21,layan cepat customer service bantu jelas,"['layan', 'cepat', 'customer', 'service', 'bantu', 'jelas']",Pelayanan Bagus
5,Pelayanan yang memuaskan walau kita sebagai customer harus rela sabar antri buat pengambilan barang ataupun pengiriman.,JNE,Bangka Belitung,2021-01-21,layan muas customer rela sabar antri ambil kirim,"['layan', 'muas', 'customer', 'rela', 'sabar', 'antri', 'ambil', 'kirim']",Pelayanan Bagus
4,"Selama saya menggunakan jne. Biasa"" aja. Enggak ada masalah dalam pengiriman nya. Pengiriman nya standart. terus pihak jne juga kan ada batas jam pengiriman kurir nya.. Saya kasih bintang 4 saja. Karena saya masih merasa kurang puas juga …",JNE,Bangka Belitung,2021-01-21,kirim kirim standart batas kirim bintang puas,"['kirim', 'kirim', 'standart', 'batas', 'kirim', 'bintang', 'puas']",Pelayanan Bagus
5,Agen/Jasa pengiriman yg cepat dan berkualitas. Agar lebih ditingkatkan utk kecepatan pengiriman/tiba ditujuannya. Dan mohon utk biaya ongkir lebih disesuaikan.Terimakasih. 🙏🙏 …,JNE,Bangka Belitung,2021-01-21,agen jasa kirim cepat kualitas tingkat cepat kirim tuju mohon biaya ongkir sesuai,"['agen', 'jasa', 'kirim', 'cepat', 'kualitas', 'tingkat', 'cepat', 'kirim', 'tuju', 'mohon', 'biaya', 'ongkir', 'sesuai']",Pelayanan Bagus
5,pelayanan ok estimasi harinya sesuai. promo d toko online kurang banyak jd jarang pake,JNE,Bangka Belitung,2021-01-21,layan estimasi hari sesuai promo toko online jarang pakai,"['layan', 'estimasi', 'hari', 'sesuai', 'promo', 'toko', 'online', 'jarang', 'pakai']",Pelayanan Bagus
4,"Paket untuk  saya dari bandung kapan nyampenya komalah 6,hri toh dan bilang alamat kurang jls padahal saya sudah prnah kemaren"" pake j&t nyampe diantar ketempat g lama kya ini
Saya kecewa pake jne klw kaya ini",JNE,Bangka Belitung,2021-01-21,nyampenya koma hri bilang jls prnah kemarin pakai antar tempat lambat kya kecewa pakai kaya,"['nyampenya', 'koma', 'hri', 'bilang', 'jls', 'prnah', 'kemarin', 'pakai', 'antar', 'tempat', 'lambat', 'kya', 'kecewa', 'pakai', 'kaya']",Pelayanan Bagus
