rating,reviews,company,province,parsed_date
2,"We deliberately came to the office (H+2) to ensure that the monitored package position did not move in the application, even though we had paid for the package to be delivered one day. …",JNE,Aceh,2023-01-20 08:34:05.299934
1,"JNE is bad, my package hasn't arrived yet, even though it said it only took 1 day but it hasn't arrived for 5 even though I've already paid for it, that's very disappointing",JNE,Aceh,2024-07-23 08:34:05.299934
5,"You can also use JNE. There are a lot of CS but there are lots of empty staff too, maybe because it's a week, that could be the case. …",JNE,Aceh,2019-01-21 08:34:05.299934
4,"JNE West Sumatra Branch is the control center for all JNE outlets in West Sumatra. In this place the branch leader will control all existing outlets. Good job, West Sumatra District Head. May you always be healthy and successful....",JNE,Aceh,2021-01-20 08:34:05.299934
1,"very ugly jne!!! Cook Jne Yes delivery which has to arrive in 1 day, so 1 week there is no compensation either👎👎 …",JNE,Aceh,2024-06-23 08:34:05.299934
1,"I've given up on using JNE services, it's taking too long... the officer said 4 days, it's taking a long time, but instead it's 5 days, the address on the package isn't written any more, the courier is confused about delivering the package, …",JNE,Aceh,2024-03-25 08:34:05.299934
1,"G took good responsibility, didn't even respond, the package was detained but has been detained for 4 days, even though it arrived quickly from Jakarta, but instead it was detained",JNE,Aceh,2024-06-23 08:34:05.299934
1,"SEVERE SERVICE.. CHOOSE 1 DAY DELIVERY BUT IT'S BEEN 3 DAYS AND IT'S NOT ARRIVED. CS WAS CALLED 2X TO COMPLAIN 2X, JUST DISCONTINUED WHEN ASKED FOR CLARITY. EVEN 1 STAR IS NOT WORTH THE SERVICE!!!",JNE,Aceh,2024-06-23 08:34:05.299934
1,"IF THERE IS 0 STARS I WILL GIVE YOU 0 STARS. The package arrived at the warehouse on the 10th at 20.32. At 21, we were contacted that we would pick up the package because we needed it for an event on the 11 at 10.00. But it turned out that …",JNE,Aceh,2024-01-20 08:34:05.299934
1,"It's really bad, my package delivery was estimated to take 2 days, now it's been a week and it hasn't arrived yet... what's the service like if it's like this, what's the difference between express, okay, regular... pay a lot of money, the postage takes a long time",JNE,Aceh,2024-01-20 08:34:05.299934
1,"Usually JNE is fast and on time, why is it now delayed, the food didn't arrive, I'm afraid it won't taste good anymore because the payment is already expensive, really disappointed",JNE,Aceh,2024-03-25 08:34:05.299934
5,"The staff were friendly, especially when sending packages for pious children who had to be received the next day... …",JNE,Aceh,2024-01-20 08:34:05.299934
1,"Is this JNE working or not? My food delivery, you know, has been stuck since the 2nd here. You think that food can go stale over time in a cardboard box. I'm using Express, at least it's running. It hasn't been sent since the 2nd. What are you doing sleeping?",JNE,Aceh,2024-01-20 08:34:05.299934
5,"Today I sent goods via JNE, and the service is quite good, hopefully it can be maintained, even improved.",JNE,Aceh,2017-01-21 08:34:05.299934
1,"How come this expedition wasn't ready? The delivery took a really long time, it was a holiday, even a holiday when the delivery was delivered to the outlet to pick it up yourself but it was rejected. It's funny indeed. Unlike the other expedition which prioritizes service and customer satisfaction, the delivery is always on time.",JNE,Aceh,2024-01-20 08:34:05.299934
1,"In my opinion, the expedition was the slowest.. even from West Sumatra, it took 4 days before it arrived.. usually JNT takes 1 day to arrive.. I don't know if the JNE people are working or not..",JNE,Aceh,2024-01-20 08:34:05.299934
1,"Wow, I sent you the package, what are you doing, pick it up or not, you're going to deliver it, you're just joking, you lizard",JNE,Aceh,2024-11-20 08:34:05.299934
5,The waiting area is spacious and comfortable. Fast and friendly service,JNE,Aceh,2023-01-20 08:34:05.299934
1,"I'm tired of using JNE delivery service, it's really slow. My package has been in Padang for 5 days, even though the destination is only Pariaman City",JNE,Aceh,2024-04-24 08:34:05.299934
1,My package didn't arrive until it was already late... it was estimated to be the 12th and now it hasn't arrived... very disappointed with using JNE...👎 …,JNE,Aceh,2024-03-25 08:34:05.299934
1,"Worst expedition. The delivery took a really long time, and the postage was very expensive",JNE,Aceh,2024-06-23 08:34:05.299934
1,"Disappointed with JNE, it took a long time to arrive, in the future I will just use the services of the other expedition",JNE,Aceh,2024-03-25 08:34:05.299934
1,"If there were 0 stars, I would give JNE 0 stars, when I read it, there were already lots of 1 stars for JNE too. It's true that the delivery courier was really wrong. It's been sent to the wrong address, it's been handed over to who knows …",JNE,Aceh,2024-01-20 08:34:05.299934
1,"JNE Idiot, I bought goods online using JNE's next day expedition
but the courier didn't confirm at all that my package was received by someone whose name I don't know and the package wasn't in my hands, please, if you don't …",JNE,Aceh,2024-01-20 08:34:05.299934
2,"The experience I had, today, exactly 10-10-2022, I sent a car registration from Medan to Padang using express, which the JNE officer estimated that it would take 1 day to arrive. Because we were in a hurry to pay the car tax in Padang, we …",JNE,Aceh,2023-01-20 08:34:05.299934
1,"What happened to this? My package from the 6th was stuck at Jne Nipah without explanation, even though the status on maps was that it was open Saturday and Sunday but why was the package stuck for 2 days like this?? …",JNE,Aceh,2024-01-20 08:34:05.299934
1,"Stupid expedition, isn't the courier trained? Why do you behave like a bitch? I don't know the address, the person asked, there was a telephone number listed, when I got home I even shouted at my parents, deserved a low rating, stupid service that sent me a bad cake",JNE,Aceh,2024-01-20 08:34:05.299934
1,"This also seems stupid. Rock. There's been so much criticism. But ignored. Just because you feel like other people need it. For the umpteenth time, cargo delivery was really slow. This is already past the estimated acceptance limit.",JNE,Aceh,2024-01-20 08:34:05.299934
1,"I swear, this is the slowest expedition I've ever used, the package has been sitting for 3 days and hasn't been sent, calling CS is also useless",JNE,Aceh,2024-01-20 08:34:05.299934
1,"Bad Service Really disappointed, yes, the package arrived on April 5 2023 until the JNE Padang counter, and until now April 8 2023 it hasn't arrived at my place and this has already passed the jtr limit which is said to be 7-8 days. and …",JNE,Aceh,2024-01-20 08:34:05.299934
5,"Already subscribed to JNE..the goods we sent were safe and intact...delivery was right on schedule..all in all, JNE is good...never disappointed....",JNE,Aceh,2024-01-20 08:34:05.299934
5,Service is very friendly and good,JNE,Aceh,2024-12-20 08:34:05.299934
2,"2 stars is more than enough for JNE CARGO.
The process took too long, the courier was slow.
Cooking in Jakarta Padang can take 2 weeks.
Packages to PasBar always last 2-3 days in Nipah.",JNE,Aceh,2024-01-20 08:34:05.299934
5,"Good service, thank you to JNE Padang, the customer service is really good, thank you to Mr Fahmi and Mr Doni, the call center officers 👍👍👍 providing concise and clear information, so that we as customers feel very helped to ensure our …",JNE,Aceh,2024-01-20 08:34:05.299934
1,"Please, JNE, how about this? My package has arrived in Padang since November 29th but it hasn't moved to the destination address until now it's been 3 days... very disappointing. …",JNE,Aceh,2023-01-20 08:34:05.299934
1,"Kurirnya ga sopan. Kronologisnya, kurir nelpon sy 6 kali dengan rentang waktu 1 menit tiap telepon, sy saat itu tidak lg pegang hp krn sedang kerja. Waktu sy telpon balik 10 menit kemudian katanya tidak bsa antar paket lagi krn dia tidak …",JNE,Aceh,2024-07-23 08:34:05.299934
1,"Muak dengan kinerja JNE Banda Aceh. Di tracking disebutkan barang sedang diantar kurir, dua hari berturut2. Waktu kantornya saya datangi, tiba2 secara ajaib barang keluar dari gudang dalam 1 menit. Trus yg diantar kurir apa? Tuyul? Kejadian …",JNE,Aceh,2021-01-20 08:34:05.299934
1,"Jne sampah, kerjanya apa si cmn tgl ngantar kan brg aja di tahan"" ,udh express juga,karna org perlu cepat ini ditahan tahan ,udah la paketnya isinya mahal",JNE,Aceh,2024-07-23 08:34:05.299934
1,"Di trucking paket sudah diterima,, foto alamat ntah dmna"" gak sesuai sama alamat yg sudah saya terakan..
Padahal alamat sudah jelas kantor daihatsu …",JNE,Aceh,2024-03-25 08:34:05.299934
1,"gak jelas banget jam operasionalnya
di maps dibikin buka setiap hari
datang di hari sabtu dan minggu ternyata gak buka …",JNE,Aceh,2024-03-25 08:34:05.299934
1,"Barang masih belom saya terima kok main ubah status Deliver segala. Padahal saya beli online ni, dah barang belom sempat check status pesanan saya di toko online udah status konfirmasi pula, itupun limit 1hari 12 jam kalau gak auto terkonfirmasi.",JNE,Aceh,2020-01-21 08:34:05.299934
3,"Pelayanannya kurang maksimal, Karyawannya Kurang.
Para konsumer harus menunggu lama padahal barangnya sudah ada.
Terkadang sering ditunda distribusinya.
Area parkir memadai.",JNE,Aceh,2019-01-21 08:34:05.299934
1,"Status barang “pesanan sedang diantar ke alamat tujuan” berhari hari. Mau di tlpon call centernya cuman suruh nunggu trus, dan mastiin klau bakal sampai di hari yg sama terus. Kacauuu, kita jadi engga bisa nentuin wktu yg tepat untuk …",JNE,Aceh,2024-01-20 08:34:05.299934
1,"Nggak jelas karyawan nya,masak iya status uda sampai tapi paket nya belum sampai kesaya,pihak JNE liat dong karyawan nya gimana sih,nggak jelas",JNE,Aceh,2021-01-20 08:34:05.299934
5,Pelayanan nya baik pengiriman juga sesuai 😁 …,JNE,Aceh,2024-08-22 08:34:05.299934
1,Pelayanan kurir sangat tidak punya Attitude. Padahal saya member di Jne pokok nya sangat kecewa,JNE,Aceh,2024-05-24 08:34:05.299934
1,"Ga jelas.. udh ngantar ngetuk pintu rmh, udh dijawab dblg sbntr eh kurirnya malah prgi gtu aja ga nungguin. Di pelacakan pengiriman malah dibuat keterangan kalo org yg pesan ga jelas. Apa salah sabar sbntr dan ngehubungi nmr hp setiap …",JNE,Aceh,2023-01-20 08:34:05.299934
1,"JNE kaya hidup segan mati gak mau masak barang kita sudah seminggu sampai ke Banda Aceh tapi belum diantar juga ke rumah pas kita ke kantornya malah dibilang barangnya sma kurir, eh pas kita minta jemput sendiri ke kurinya malah dibilang …",JNE,Aceh,2023-01-20 08:34:05.299934
1,"Pengiriman gak jelas. Salah alamat tapi ga mau tanggung jawab. Pdahal alamat di tunu udah jelas, nama penerima dan no telp penerima jelas sekali. Di minta tanggung jawab malah menghindar!",JNE,Aceh,2024-02-24 08:34:05.299934
3,"Reviu sebelumnya salah tempat. Untuk JNE ini cukup bintang 3 saja rating saya. Status tracking sering tidak update dan terkesan malas update. Jadi status barang biasanya cukup ditulis ""barang sedang dikirim"" tanpa ada keterangan tambahan …",JNE,Aceh,2022-01-20 08:34:05.299934
5,Ngambil paket harus kemari. Padahal dah ditunggu.. tempatnya luas dan banyak mobil jne disini...  semoga setiap barang yang masuk cepat diantar ke tempat penerimanya.. kinerjanya baik dan kedepannya harus ditinggalkan lagi.. …,JNE,Aceh,2024-01-20 08:34:05.299934
1,"Era kejayaan JNE mungkin 10 tahun lalu. Sempat terdepan sekarang malah bikin ribet. Paket sudah sampai diperam dulu di gudang, dibuat status sudah dengan kurir diantar kerumah bahkan status sudah dengan pemilik rumah. Padahal sampai 3 hari …",JNE,Aceh,2022-01-20 08:34:05.299934
1,"Pelayanan dulu bagus, begitu paket saya sampai langsung ke gudang JNE bisa ambil disitu dan sudah di input. …",JNE,Aceh,2022-01-20 08:34:05.299934
1,Pelayanan yang sangat buruk dan tidak jelas. Paket sudah di sampai di gundang tanggal 16 sampai hari ini belum sampai di tangan. Kemaren tanggal 18 ke gudang katanya paket sedang di antar tunggu saja dirumah. Sampai sore tunggu engg di …,JNE,Aceh,2022-01-20 08:34:05.299934
1,"makin hari makin buruk. mau ngambil barang sendiri aja kyk ngemis2. di tunggu ga di anter, besok ke jne kata nya dtg besok lagi aja karena masih di gudang. giliran besok nya datang. di suruh tunggu d rmh aja. tar di anter ke rmh. barang …",JNE,Aceh,2021-01-20 08:34:05.299934
1,"Parah daah JNE Aceh, paket belum diterima tapi status dibuat selesai, saya datang ke kantor cabang terdekat disuruh ke kantor cabang b, c, sampai ke kantor operasional jne aceh (gudang), sampe sana ngantri lama karena petugasnya gaktau ntah …",JNE,Aceh,2022-01-20 08:34:05.299934
1,"Siang ini dikabarkan paket saya udah sampe di Banda Aceh, trus tracking di webnya katanya jam 17.38 udah diterima di saya. Nama penerimanya 'TS'. Saya tidak merasa sudah menerima paket, jadi besoknya saya datangi ke gudangnya, ternyata …",JNE,Aceh,2021-01-20 08:34:05.299934
1,"Sangat buruk, pihak JNE terlalu mengundur waktu. Dan yg bikin kecewa lagi pihak JNE malah mengklaim ke tokopedia bahwa barang sudah saya terima. Ini tentu sangat merugikan pembeli karna tokopedia akan secara otomatis mengklaim bahwa …",JNE,Aceh,2019-01-21 08:34:05.299934
1,"JNE DENGAN KUALITAS TERJELEK, SAYA SARANKAN JANGAN PERNAH KIRIM BARANG DARI SINI, pakai saja servis lain jika tidak mau kecewa. …",JNE,Aceh,2020-01-21 08:34:05.299934
1,"Barangny selalu telat. Kurir gak menghubungi kalo barang ud nyampe. Sekali ny nelpon malah bentak customer. No manner. Buruk. Mengecewakan. Baru2 ini barang saya ud nyampe dr tnggal 1, tpi sampai detik ini blum juga diantar. Parah. Parah. Jasa kurir jenis begini shrusny gak digunain lgi. Gak ngerti knpa masi bnyak toko online yg pake.",JNE,Aceh,2019-01-21 08:34:05.299934
1,"maaf yah terpaksa nulis krna sdh berulang kali , brang smpai melebihi estimasi y tertera, setelah di gudang ga dianter2 kerumah, pdahal sdh bayar sampai alamat rumah,  pas kita ke gudang petugasnya marah2 , mohon donk kerja samanya , tingkatkan lagi pelayanannya ,",JNE,Aceh,2022-01-20 08:34:05.299934
1,"Barang udah smpe tpi gk mau diantar , tlfn malah nyuruh saya dtngin dia , saya tdk bisa ambil krna sedng dikntr malah dsrh krm ke kntr lah gda sopan sntun bgt , biasa jga diantr krmh , ditlfn kebskn nya malah mrh2 jelek bgt pelayanan nya",JNE,Aceh,2022-01-20 08:34:05.299934
1,saya sungguh menyesalkan dengan pelayanan JNE . orderan saya di shoope dianggap selesai padahal saya belum menerima barangnya. dan setelah saya telusuri barangnya masih di gudang JNE. jika tidak mau mengantr tolong telpon yang empunya paket …,JNE,Aceh,2021-01-20 08:34:05.299934
1,"PELAYANAN YANG SANGAT TERAMAT BURUK ZONK

saya mengirim barang dari jakarta dengan JTR estimasi 10 hari paling lama, sudah …",JNE,Aceh,2022-01-20 08:34:05.299934
1,"Terlalu sering mengecewakan. Status barang sudah sampai di kurir pagi tapi gak sampe2 di tangan.
Barang belum sampe di tangan, tapi di status pemesanan E-Commerce sudah selesai. …",JNE,Aceh,2020-01-21 08:34:05.299934
1,"Apakah JNE tidak melayani lagi Paket COD? Paket saya di return sepihak oleh JNE, Status ""Paket dikembalikan kepada pengirim"" dengan alasan ditolak oleh penerima, padahal kurir belum pernah antar paket tersebut ke alamat saya dan juga belum …",JNE,Aceh,2021-01-20 08:34:05.299934
1,"Pengiriman sangat teramat buruk.. Waktu cek resi barangnya udah sama kurir dari jam 2 siang.. Tapi ane tunggu sampe jam 12 malam tetap ga dateng paketny..
Ada sih di miscall sama kurir.. Habis itu ane telpon balik tetap gadiangkat... Kapok ane sama pelayanannya...",JNE,Aceh,2019-01-21 08:34:05.299934
1,"Pengiriman yang dilakukan tidak memuaskan, malah sangat mengecewakan. Barang yang harusnya sudah diantar malah tidak diantar dan di sistem diinput kalau rumah kosong padahal di rumah selalu ada orang. Saat dikonfirmasi dan komplain, malah …",JNE,Aceh,2020-01-21 08:34:05.299934
1,"Pelayanan nya jelek..setiap pesan brg tdk mw d antar k alamat dengan alsan alamat tdk lengkap, pdhl puluhan x belanja brg d kirim k alamat ini selalu sampai brgnya ,tp knp JNE Banda Aceh sellu mengklaim alamat yg d tuju tdk lengkap? Apa …",JNE,Aceh,2022-01-20 08:34:05.299934
1,"nyampek warehouse tanggal 5 agustus 2021, skrg uda tanggal 7 agustus 2021 barang belum di antar kerumah, padahal lokasi rumah saya lambhuk, dekat dengan gudang, mana besok minggu, terpaksa ke gudang tanggal 9 (senin) nya.. mana ada penting …",JNE,Aceh,2022-01-20 08:34:05.299934
1,"Paket saya sampe sekarang engga ada kabar , paket udah seminggu yang lalu kalo jnt ini mah udah fast respon udah gerak cepat untuk pengantarannya dan juga ditelpon oleh kurirnya dari pihak jne tingkat ditelpon aja engga apalagi diantar",JNE,Aceh,2022-01-20 08:34:05.299934
1,"Lama banget JNE nya udh berapa kali begitu g sesuai dgn tgl yg di tentukan , terus kurirnya marah marah lagi padahal kan saya pas di telepon langsung angkat . Tapi mungkin kurir nya capek seharian , tapi bisa kan g perlu marah marah",JNE,Aceh,2022-01-20 08:34:05.299934
2,"Pelayanannya buruk... Nada bicara petugas cenderung menggertak, informasi tidak jelas. Meminta konsumen untuk mengambil baramg di gudang, sampai di gudang di tolak krn tidak didampingi petugas... Di lain waktu mengatakan bahwa barang sedang …",JNE,Aceh,2021-01-20 08:34:05.299934
1,"Paket saya sampai banda Aceh tanggal 2 febuari katanya alamat tidak lengkap padhl alamatnya jelas jelas saya tulis.
Habis itu tidak di tlpon nya. …",JNE,Aceh,2022-01-20 08:34:05.299934
2,"JNE banda aceh sangat tidak profesional, banyak kurirnya asal kerja, alamat gak nemu gak nelpon no yng ada di paket, disamperin le kantor org ngantri lama... coba tolong perhatiannya..",JNE,Aceh,2021-01-20 08:34:05.299934
1,"Cacat ni JNE nya, barangnya udah di banda aceh 5 hari,, tp belum aku terima.. malah pas di tracking bilangnya rumah aku kosong.. serius ngga ni ?? dirumah ada orang 24 jam,, terus kalo emg kosong knp ngga telpon pas kuris smpai depan rumah …",JNE,Aceh,2020-01-21 08:34:05.299934
1,"Pelayanannya sangat buruk, bukan satu atau dua kali ini udah ke tiga kalinya, begini jadi saya kirim paket dari Bna ke Sigli tapi udah mau seminggu paketnya masih di banda pass di cek di resi paket anda sudah diterima oleh pihak JNE....",JNE,Aceh,2021-01-20 08:34:05.299934
1,Pelayanan mengecewakan.. barang sudah sampai 3 hari.. tapi kurir tidak mengantarkan kepada saya.. tolong lah kalo kerja yang jelas. Jgn Nerima uang aja yg cepat.. kerja tolong cepat juga,JNE,Aceh,2021-01-20 08:34:05.299934
3,"Hallo bpk/ibu
Saya salah satu pemakai jasa shipping dari perusahaan JNE
Mau berikan masukan boleh ya pak/bu ? …",JNE,Aceh,2022-01-20 08:34:05.299934
1,"Barang ilang 2 kali, nanya ke gudangnya tidak dilayani dengan ramah, cuman disuruh isi kertas dan nunggu lama banget. Sampe akhirnya cuman nelpon kurir yang bilang udah dikirim ke orang yang  entah siapa. Barangnya prfum satu, dan depdorant spray satu .Kapok",JNE,Aceh,2021-01-20 08:34:05.299934
1,"JNE kurir gak jelas, paket di keterangan udah sampe, tapi paket nya belom sampe ke saya , emang gak jelas, mending tutup aja tu jne , kalau pengiriman lebih bagus punya sebelah aja dari pada jne",JNE,Aceh,2023-01-20 08:34:05.299934
1,Jasa ekspedisi paling buruk untuk JNE banda aceh.. barang dari jakarta kebanda acehnya selalu tepat waktu tapi dari gudang banda aceh ke alamatnya sangat lambat. Saya ambil ke gudang katanya sudah dibawa kurir tapi pas saya tunggu kurir …,JNE,Aceh,2018-01-21 08:34:05.299934
1,Udah satu minggu paket nya belum sampai2.status nya dalam pengantaran sama kurir.kenapa di setiap pengiriman tidak keluar nama JNE.kenapa haru di sembunyi nama nya.kalo tau jNE gak akan saya pakek anda.duku tahun 2017 barang saya hilang.pihak JNE tidak bertanggung jawab.anda tidak amanah sama sekali,JNE,Aceh,2022-01-20 08:34:05.299934
1,Pelayan jne sangat buruk. Barang udah 3 hari sampai tapi tidak mau diantar. Kantor jne selalu penuh dengan konsumen ambil barang. Kantor expedisi lain malah gk ada org ngambil kecuali ngirim. Kecewa. Sumpah buruk..,JNE,Aceh,2020-01-21 08:34:05.299934
1,"Pengiriman nya sangat lambat.. udah dua hari barang sampe tapi tetap di gudang.. dan juga saga kan pesan barangnya dari shopee tuhh, pihak jne nya mengklaim bahwa paket saya udah saya ambil.. akhirnya saya ke jne saya nunggu lama banget …",JNE,Aceh,2020-01-21 08:34:05.299934
1,"Barang tidak dikirim kealamat katanya alamat tidak lengkap, kurang lengkap apa coba dari kota, kec, dusun, kelurahan, nama jalan, sampai no rumah saya buat😪, kalo memang tidak bisa diantar tolong dikonfirmasi biar baranya gak busuk digudang. …",JNE,Aceh,2020-01-21 08:34:05.299934
1,"Sangattt teramat parah pelayanannya, tidak menghargai waktu customer, manajemen sdm yang lemah, ayo dong JNE masa harus seabad saya nunggu paket saya, ini udah jemput langsung ke gudang pun ga jelas",JNE,Aceh,2022-01-20 08:34:05.299934
1,"Waktu cek resi sudah delivered. Tapi belum sampai barangnya. Ktika di telpon nomer kantor yang tersedia di google, gak diangkat2 katanya sibuk. Di masa2 korona ini apakah customer harus pergi ke kantor buat ambil barang yang janjinya akan di antar ke rumah?",JNE,Aceh,2021-01-20 08:34:05.299934
1,"bad service :(
pelayanan lambat, saya nunggu 2 jam untuk 2 paket dan hanya 1 paket yg ada lalu tanpa aba2 apa-apa disuruh nunggu sampe 2.5 jam saya putuskan pulang dan entah …",JNE,Aceh,2019-01-21 08:34:05.299934
1,"Dapat pemberitahuan kemarin barang sudah sampai ke jne, katanya barang sudah diterima, saya bingung sudah diterima dari mana nya, sedangkan barang belum sampai ke tangan saya, tolong jangan di perlambat pengiriman barang saya, tolong …",JNE,Aceh,2021-01-20 08:34:05.299934
1,"Pelayanan semakin hari semakin buruk. Dari tracking barang sdh sampai 3 hari yll,  tapi sampai hari ini tak ada kbr, pd hal status sdh delivered. Di telp ke gudang tlp digantung, selalu katanya jaringan sedang sibuk.",JNE,Aceh,2019-01-21 08:34:05.299934
1,"Mengecewakan sejak dahulu kala. Di. Tracking barang sudah smpai ke kurir 3hri, namun belum di kirim ke rumah. Di minta no handphone malah di kasih no tlpn kantor. Cukup cukup sudah pakai jasa kalian. Thx",JNE,Aceh,2021-01-20 08:34:05.299934
2,"Barang yang belum diantar, katanya sudah sampai di tangan pada saat di track dan nama penerima seperti dibuat2, sangat tidak logis ktanya barang sudah diantar jam 18:30, sedangkan waktu saya track masi jam 16:00, klau tidak saya inisiatif utk mencari lagi, mgkin tidak akan diantar2",JNE,Aceh,2021-01-20 08:34:05.299934
1,"Kurir sampah, status delivered, barang gk nyampe, kejadian berulang2, kalau gk karna dri pihak pengirim yg harus pake jne, gk sudi saya pake jne ni",JNE,Aceh,2023-01-20 08:34:05.299934
1,"Barang di antar lah, padahal udah sampai dari kemarin, apa tunggu berkerak di gudang  itu,
Beda banget banget sama jasa pengiriman sebelah, Hari Hari minggu dilakukan …",JNE,Aceh,2019-01-21 08:34:05.299934
1,"Paket saya sdh 1 minggu menggantung stss pengantaran, tapi tak sampai sampai. Boleh tolong no hp yg bisa di tlp, no tlp yg terlampir sibuk terussssssss🥵 …",JNE,Aceh,2022-01-20 08:34:05.299934
1,"Jasa pengiriman yang sangat mengecewakan, laporan barang sudah dikantor JNE Banda Aceh dan keterangannya rumah/ kantor kosong sampai hampir 1 Minggu tidak ada proses lanjutan, kacau memang tolong evaluasi lagi",JNE,Aceh,2021-01-20 08:34:05.299934
1,"Masa iya pengiriman pertama gagal dengan alasan status 'Kantor/Rumah kosong' padahal tu kurir belum nelpon saya, dan padahal saya sedang berada di rumah seharian pada saat status 'kurir sedang mengantar paket ke alamat tujuan'",JNE,Aceh,2022-01-20 08:34:05.299934
1,"Sdh 2 hari status barang dibawa oleh kurir tapi tapi ngk ada kabar atau telpon dri kurirnya, dan di hari ke dua bukannya smpe ke alamat malah dibuat Alamat tidak di temukan, bukannya di telpon klw ngk tau alamat mlah dibilang ngk ditemukan, …",JNE,Aceh,2020-01-21 08:34:05.299934
1,"Saya buat alamat jne ini, pelayanan kurang, belum pernah sekalipun ditelepon saya kalau barang udah sampai, terpaksa saya tanya sendiri kekantornya,,",JNE,Aceh,2022-01-20 08:34:05.299934
1,"Sumpah pengambilan paketnya lama pekerja nya ga profesional gua datang jam 9 pagi selesainya jam 13.00 sungguh merepotkan dan sayangnya para pengunjung yang datang bukan hanya yang disekitar Banda Aceh tetapi yang jauh juga, mereka tlah …",JNE,Aceh,2019-01-21 08:34:05.299934
3,"1. tempatnya sempit, parkirnya susah terutama utk kenderaan roda empat, kalau utk roda dua msh bisa parkir.
halaman pertokoan penuh dgn mobil box milik jne. …",JNE,Aceh,2018-01-21 08:34:05.299934
3,"Pelayanan lambat, kurirnya kadang ketika ngantar barang nelpon cuma sekali aja(kalau gak angkat), terus barangnya di antar balik ke kantor.",JNE,Aceh,2020-01-21 08:34:05.299934
1,"Brg belum sampai di tangan, status udh sampai.
Pas di tanya ke kantor malah di blg belum sampai, padahal di status pelacakan udh 3 hari jam kerja di kecamatan saya. …",JNE,Aceh,2021-01-20 08:34:05.299934
